Game,Time,Opponent_Score,Mavs_Score,Player,Action,Shot_Type,Description
Game 3 vs OKC Thunder,0:14.2,92.0,87.0,Jason Terry,Make,FT,0:14.2	J. Terry makes free throw 1 of 2	+1	92-87
Game 3 vs OKC Thunder,0:14.2,93.0,87.0,Jason Terry,Make,FT,0:14.2	J. Terry makes free throw 2 of 2	+1	93-87
Game 3 vs OKC Thunder,0:10.9,87.0,93.0,Russell Westbrook,Turnover,,Turnover by R. Westbrook (bad pass; steal by J. Terry)
Game 4 vs OKC Thunder,4:49.0,85.0,99.0,Shawn Marion,Make,FT,4:49.0	S. Marion makes free throw 1 of 2	+1	85-99
Game 4 vs OKC Thunder,4:49.0,86.0,99.0,Shawn Marion,Make,FT,4:49.0	S. Marion makes free throw 2 of 2	+1	86-99
Game 4 vs OKC Thunder,4:44.0,102.0,101.0,Dirk Nowitzki,Make,FT,4:44.0	D. Nowitzki makes free throw 1 of 2	+1	102-101
Game 4 vs OKC Thunder,4:44.0,103.0,101.0,Dirk Nowitzki,Make,FT,4:44.0	D. Nowitzki makes free throw 2 of 2	+1	103-101
Game 4 vs OKC Thunder,4:34.0,87.0,99.0,Dirk Nowitzki,Make,FT,4:34.0	D. Nowitzki makes free throw 1 of 2	+1	87-99
Game 4 vs OKC Thunder,4:34.0,87.0,99.0,Dirk Nowitzki,Miss,FT,4:34.0	D. Nowitzki misses free throw 2 of 2	 	87-99
Game 4 vs OKC Thunder,4:20.0,99.0,87.0,Russell Westbrook,Miss,,misses 2-pt jump shot from 17 ft
Game 4 vs OKC Thunder,4:10.0,87.0,99.0,Dirk Nowitzki,Turnover,,4:10.0	Turnover by D. Nowitzki (bad pass; steal by R. Westbrook)	 	87-99
Game 4 vs OKC Thunder,4:06.0,103.0,101.0,Jason Kidd,Miss,3PT,4:06.0	J. Kidd misses 3-pt jump shot from 24 ft	 	103-101
Game 4 vs OKC Thunder,3:49.0,88.0,99.0,Jason Kidd,Make,FT,3:49.0	J. Kidd makes free throw 1 of 2	+1	88-99
Game 4 vs OKC Thunder,3:49.0,89.0,99.0,Jason Kidd,Make,FT,3:49.0	J. Kidd makes free throw 2 of 2	+1	89-99
Game 4 vs OKC Thunder,3:49.0,99.0,87.0,Russell Westbrook,Turnover,,Turnover by R. Westbrook (lost ball; steal by J. Kidd)
Game 4 vs OKC Thunder,3:33.0,99.0,89.0,Kevin Durant,Miss,,misses 2-pt jump shot from 22 ft
Game 4 vs OKC Thunder,3:30.0,103.0,103.0,Jason Terry,Miss,2PT,3:30.0	J. Terry misses 2-pt jump shot from 17 ft	 	103-103
Game 4 vs OKC Thunder,3:16.0,105.0,103.0,Jason Terry,Make,2PT,3:16.0	J. Terry makes 2-pt jump shot from 13 ft (assist by S. Marion)	+2	105-103
Game 4 vs OKC Thunder,3:15.0,91.0,99.0,Dirk Nowitzki,Make,2PT,3:15.0	D. Nowitzki makes 2-pt jump shot from 13 ft	+2	91-99
Game 4 vs OKC Thunder,2:50.0,99.0,91.0,Kevin Durant,Miss,,misses 3-pt jump shot from 25 ft
Game 4 vs OKC Thunder,2:36.0,105.0,103.0,Dirk Nowitzki,Miss,2PT,2:36.0	D. Nowitzki misses 2-pt jump shot from 11 ft	 	105-103
Game 4 vs OKC Thunder,2:33.0,101.0,91.0,Russell Westbrook,Make,,makes 2-pt jump shot from 16 ft
Game 4 vs OKC Thunder,2:22.0,94.0,101.0,Dirk Nowitzki,Make,3PT,2:22.0	D. Nowitzki makes 3-pt jump shot from 24 ft (assist by J. Kidd)	+3	94-101
Game 4 vs OKC Thunder,2:12.0,105.0,103.0,Dirk Nowitzki,Miss,2PT,2:12.0	D. Nowitzki misses 2-pt jump shot from 13 ft	 	105-103
Game 4 vs OKC Thunder,2:11.0,94.0,101.0,Jason Terry,Foul,,2:11.0	 	 	94-101	 	Personal foul by J. Terry (drawn by R. Westbrook)
Game 4 vs OKC Thunder,2:11.0,101.0,94.0,Russell Westbrook,Miss,,misses free throw 1 of 2
Game 4 vs OKC Thunder,2:11.0,101.0,94.0,Russell Westbrook,Miss,,misses free throw 2 of 2
Game 4 vs OKC Thunder,2:01.0,96.0,101.0,Dirk Nowitzki,Make,2PT,2:01.0	D. Nowitzki makes 2-pt jump shot from 14 ft	+2	96-101
Game 4 vs OKC Thunder,1:38.0,101.0,96.0,Russell Westbrook,Miss,,misses 2-pt jump shot from 15 ft
Game 4 vs OKC Thunder,1:33.0,105.0,105.0,Jason Terry,Miss,2PT,1:33.0	J. Terry misses 2-pt jump shot from 20 ft	 	105-105
Game 4 vs OKC Thunder,1:26.0,98.0,101.0,Dirk Nowitzki,Make,2PT,1:26.0	D. Nowitzki makes 2-pt jump shot from 5 ft	+2	98-101
Game 4 vs OKC Thunder,1:15.0,105.0,105.0,Shawn Marion,Foul,,1:15.0	 	 	105-105	 	Personal foul by S. Marion (drawn by K. Durant)
Game 4 vs OKC Thunder,1:08.0,101.0,98.0,Kevin Durant,Turnover,,Turnover by K. Durant (lost ball; steal by S. Marion)
Game 4 vs OKC Thunder,1:04.0,98.0,101.0,Jason Terry,Miss,2PT,1:04.0	J. Terry misses 2-pt layup from 2 ft (block by T. Sefolosha)	 	98-101
Game 4 vs OKC Thunder,0:40.9,101.0,98.0,Russell Westbrook,Miss,,misses 2-pt jump shot from 16 ft
Game 4 vs OKC Thunder,0:40.3,108.0,105.0,Jason Kidd,Make,3PT,0:40.3	J. Kidd makes 3-pt jump shot from 22 ft (assist by D. Nowitzki)	+3	108-105
Game 4 vs OKC Thunder,0:39.5,99.0,101.0,Shawn Marion,Make,FT,0:39.5	S. Marion makes free throw 1 of 2	+1	99-101
Game 4 vs OKC Thunder,0:39.5,99.0,101.0,Shawn Marion,Miss,FT,0:39.5	S. Marion misses free throw 2 of 2	 	99-101
Game 4 vs OKC Thunder,0:13.0,109.0,105.0,Jason Terry,Make,FT,0:13.0	J. Terry makes free throw 1 of 2	+1	109-105
Game 4 vs OKC Thunder,0:13.0,110.0,105.0,Jason Terry,Make,FT,0:13.0	J. Terry makes free throw 2 of 2	+1	110-105
