--- SECTION 1: CLUTCH IDENTITY SUMMARY (FG and FT) ---
Player,FGM,FGA,FG%,FTM,FTA,FT%
Dirk Nowitzki,31,52,59.62,54,58,93.1
Jason Terry,10,34,29.41,16,16,100.0
Jason Kidd,6,15,40.0,13,16,81.25
Shawn Marion,7,10,70.0,7,8,87.5
Tyson Chandler,3,7,42.86,2,4,50.0
Peja Stojakovic,1,3,33.33,0,0,0.0
DeShawn Stevenson,0,2,0.0,2,2,100.0
J.J. Barea,1,1,100.0,2,4,50.0
Brendan Haywood,0,0,0.0,0,2,0.0


--- SECTION 2: FULL PLAY-BY-PLAY LOG WITH SPLIT SCORES ---
Game,Time,Opponent_Score,Mavs_Score,Player,Action,Shot_Type,Description
Game 2 vs OKC Thunder,4:47.0,98,92,Dirk Nowitzki,Miss,2PT,4:47.0	 	 	98-92	 	D. Nowitzki misses 2-pt layup from 1 ft (block by N. Collison)
Game 2 vs OKC Thunder,4:18.0,98,92,Jason Terry,Miss,3PT,4:18.0	 	 	98-92	 	J. Terry misses 3-pt jump shot from 25 ft
Game 2 vs OKC Thunder,3:40.0,100,92,Dirk Nowitzki,Turnover,N/A,3:40.0	 	 	100-92	 	Turnover by D. Nowitzki (lost ball; steal by N. Collison)
Game 2 vs OKC Thunder,3:03.0,102,92,Dirk Nowitzki,Miss,2PT,3:03.0	 	 	102-92	 	D. Nowitzki misses 2-pt jump shot from 16 ft
Game 2 vs OKC Thunder,2:52.0,102,94,Dirk Nowitzki,Make,2PT,2:52.0	 	 	102-94	+2	D. Nowitzki makes 2-pt jump shot from 7 ft
Game 2 vs OKC Thunder,2:11.0,102,96,Dirk Nowitzki,Make,2PT,2:11.0	 	 	102-96	+2	D. Nowitzki makes 2-pt layup from 1 ft
Game 2 vs OKC Thunder,1:30.0,102,96,Jason Kidd,Turnover,N/A,1:30.0	 	 	102-96	 	Turnover by J. Kidd (bad pass)
Game 2 vs OKC Thunder,1:19.0,102,96,DeShawn Stevenson,Foul,N/A,1:19.0	Shooting foul by D. Stevenson (drawn by N. Collison)	 	102-96
Game 2 vs OKC Thunder,1:05.0,102,96,Jason Kidd,Miss,3PT,1:05.0	 	 	102-96	 	J. Kidd misses 3-pt jump shot from 23 ft
Game 2 vs OKC Thunder,1:03.0,102,97,DeShawn Stevenson,Make,FT,1:03.0	 	 	102-97	+1	D. Stevenson makes free throw 1 of 2
Game 2 vs OKC Thunder,1:03.0,102,98,DeShawn Stevenson,Make,FT,1:03.0	 	 	102-98	+1	D. Stevenson makes free throw 2 of 2
Game 2 vs OKC Thunder,0:47.8,102,98,Dirk Nowitzki,Foul,N/A,0:47.8	Shooting foul by D. Nowitzki (drawn by N. Collison)	 	102-98
Game 2 vs OKC Thunder,0:36.7,104,99,Dirk Nowitzki,Make,FT,0:36.7	 	 	104-99	+1	D. Nowitzki makes free throw 1 of 3
Game 2 vs OKC Thunder,0:36.7,104,99,Dirk Nowitzki,Miss,FT,0:36.7	 	 	104-99	 	D. Nowitzki misses free throw 2 of 3
Game 2 vs OKC Thunder,0:36.7,104,100,Dirk Nowitzki,Make,FT,0:36.7	 	 	104-100	+1	D. Nowitzki makes free throw 3 of 3
Game 2 vs OKC Thunder,0:09.9,104,100,Peja Stojakovic,Miss,3PT,0:09.9	 	 	104-100	 	P. Stojaković misses 3-pt jump shot from 26 ft
Game 2 vs OKC Thunder,0:08.4,104,100,Tyson Chandler,Foul,N/A,0:08.4	Personal take foul by T. Chandler (drawn by T. Sefolosha)	 	104-100
Game 2 vs OKC Thunder,0:00.9,106,100,Jason Terry,Miss,3PT,0:00.9	 	 	106-100	 	J. Terry misses 3-pt jump shot from 24 ft
Game 2 vs OKC Thunder,0:00.3,106,100,Tyson Chandler,Miss,2PT,0:00.3	 	 	106-100	 	T. Chandler misses 2-pt layup from 1 ft (block by K. Durant)
Game 3 vs OKC Thunder,4:53.0,82,74,Dirk Nowitzki,Miss,2PT,4:53.0	D. Nowitzki misses 2-pt layup from 3 ft (block by N. Collison)	 	82-74
Game 3 vs OKC Thunder,4:45.0,82,74,Dirk Nowitzki,Miss,2PT,4:45.0	D. Nowitzki misses 2-pt jump shot from 10 ft (block by K. Durant)	 	82-74
Game 3 vs OKC Thunder,4:21.0,82,74,Shawn Marion,Foul,N/A,4:21.0	 	 	82-74	 	Shooting foul by S. Marion (drawn by R. Westbrook)
Game 3 vs OKC Thunder,3:57.0,84,75,Dirk Nowitzki,Make,2PT,3:57.0	D. Nowitzki makes 2-pt jump shot from 15 ft (assist by J. Terry)	+2	84-75
Game 3 vs OKC Thunder,3:46.0,84,75,Shawn Marion,Foul,N/A,3:46.0	 	 	84-75	 	Personal foul by S. Marion (drawn by K. Durant)
Game 3 vs OKC Thunder,3:31.0,84,76,Dirk Nowitzki,Turnover,N/A,3:31.0	Turnover by D. Nowitzki (lost ball; steal by N. Collison)	 	84-76
Game 3 vs OKC Thunder,3:02.0,84,78,Jason Terry,Miss,2PT,3:02.0	J. Terry misses 2-pt jump shot from 6 ft	 	84-78
Game 3 vs OKC Thunder,2:36.0,84,78,Dirk Nowitzki,Miss,2PT,2:36.0	D. Nowitzki misses 2-pt jump shot from 14 ft	 	84-78
Game 3 vs OKC Thunder,2:07.0,84,78,Dirk Nowitzki,Turnover,N/A,2:07.0	Turnover by D. Nowitzki (out of bounds lost ball)	 	84-78
Game 3 vs OKC Thunder,1:42.0,86,78,Jason Terry,Make,2PT,1:42.0	J. Terry makes 2-pt jump shot from 11 ft	+2	86-78
Game 3 vs OKC Thunder,1:10.0,86,78,Jason Kidd,Miss,2PT,1:10.0	J. Kidd misses 2-pt jump shot from 10 ft	 	86-78
Game 3 vs OKC Thunder,1:02.0,86,78,Jason Kidd,Foul,N/A,1:02.0	 	 	86-78	 	Shooting foul by J. Kidd (drawn by K. Durant)
Game 3 vs OKC Thunder,0:42.8,88,80,Dirk Nowitzki,Make,2PT,0:42.8	D. Nowitzki makes 2-pt jump shot from 14 ft	+2	88-80
Game 3 vs OKC Thunder,0:33.6,88,83,Jason Kidd,Miss,FT,0:33.6	J. Kidd misses free throw 1 of 2	 	88-83
Game 3 vs OKC Thunder,0:33.6,89,83,Jason Kidd,Make,FT,0:33.6	J. Kidd makes free throw 2 of 2	+1	89-83
Game 3 vs OKC Thunder,0:23.3,90,85,Dirk Nowitzki,Make,FT,0:23.3	D. Nowitzki makes free throw 1 of 2	+1	90-85
Game 3 vs OKC Thunder,0:23.3,91,85,Dirk Nowitzki,Make,FT,0:23.3	D. Nowitzki makes free throw 2 of 2	+1	91-85
